"","Family","Subfamily","Tribe","Genus","animal","type","caste.number","caste.number.ref","colony.size","colony.size.ref","queen.mating.frequency.original","queen.number.continuous","queen.number.binary","Inherent_Constraints_Scale","Conditional_Constraints_Scale","Constraints_Confidence","Constraints_Scale_Notes","Ref.2","Supercolonial.Helantera.review_no.stringent.nonstringent","social.parasite.Antwiki_no.yes","clonal","hybridisation","Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies","Min_size","Max_size","Raw_Data_all_workers","Sample_size_all_workers","Queen_HW_mean","Queen_HW_mean.1","Sample_size_queen","Raw_data_queen"
"1121","Formicidae","Dorylinae",NA,"Eciton","Eciton_vagans","ant",3,"Holldobler&Wilson, 1990",250000,"Rettenmeyer, 1963","19,18","1",0,NA,NA,NA,"",NA,0,0,0,0,0,0.878,3.225,"1.79, 3.018, 1.77, 0.878, 1.923, 1.526, 3.225",7,NA,NA,NA,NA
"1122","Formicidae","Ectatomminae","Ectatommini","Ectatomma","Ectatomma_edentatum","ant",1,"Blanchard & Moreau, 2017",104,"Antonialli & Giannotti, 2001","",NA,NA,NA,4,1,"workers lay trophic eggs, not clear if they can develop into males if uneaten. Antonialli, W. F. & Giannotti, E. 2002. Division of labour in Ectatomma edentatum (Hymenoptera, Formicidae). Sociobiology 39(1): 37-63.",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1123","Formicidae","Ectatomminae","Ectatommini","Ectatomma","Ectatomma_opaciventre","ant",1,"Blanchard & Moreau, 2017",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1124","Formicidae","Ectatomminae","Ectatommini","Ectatomma","Ectatomma_ruidum","ant",1,"Holldobler&Wilson, 1990; Oster & Wilson, 1978; Blanchard & Moreau, 2017",81.88,"Lenoir et al., 2011; Kaspari & Vargo, 1995; Beckers et al., 1989","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1125","Formicidae","Ectatomminae","Ectatommini","Ectatomma","Ectatomma_suzanae","ant",1,"Blanchard & Moreau, 2017; Segundo et al., 2012",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1126","Formicidae","Ectatomminae","Ectatommini","Ectatomma","Ectatomma_tuberculatum","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",381.09,"Hora, 2005; Hora et al., 2007; Perez-Lachaud et al,. 2010; Hora et al., 2001; Perez-Lachaud et al., 2011","",NA,NA,NA,NA,NA,"unable to acces ref Feneron, R. & Billen, J. 1996. Ovarian cycle in Ectatomma tuberculatum workers (Formicidae, Ponerinae). Invertebrate Reproduction & Development. 29(1): 79-85.",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1127","Formicidae","Ponerinae","Ponerini","Dinoponera - probably not classed as eusocial. Have gamergates","Ectomomyrmex_striatulus","ant",1,"Blanchard & Moreau, 2017",15,"Holldobler & Wilson, 1990","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1128","Formicidae","Ponerinae","Ponerini","Ectomomyrmex - was Pachycondyla striata","Euponera_fossigera","ant",1,"Blanchard & Moreau, 2017",50,"Villet, 1994","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1129","Formicidae","Ponerinae","Ponerini","Euponera - synonymous with Pachycondyla_wroughtonii","Euponera_wroughtonii","ant",1,"Blanchard & Moreau, 2017",500,"Villet, 1990","","1",0,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1130","Formicidae","Formicinae","Lasiini","Euprenolepis","Euprenolepis_procera","ant",2,"Antwiki, 2024",5000,"Volker & Ulrich, 2008","","",1,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,1.1,NA,NA
"1131","Formicidae","Myrmicinae","Attini","Eurhopalothrix","Eurhopalothrix_biroi","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",50,"Wilson, 1959","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1132","Formicidae","Myrmicinae","Attini","Eurhopalothrix","Eurhopalothrix_floridana","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",100,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
