animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Odontomachus_bauri,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",300,"Beckers et al., 1989",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_brunneus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",120.17,"King & Porter, 2007; Cerquera & Tschinkel, 2010; Tschinkel, 2011",,"1,04",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_cephalotes,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",1000,"Villet, 1990",,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_chelifer,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",130,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_coquereli,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,,,NA,NA,0,0,0,0,0,1.724,2.466,"1.928, 1.844, 1.777, 2.466, 2.137, 1.832, 1.814, 2.184, 2.244, 2.341, 2.349, 1.724, 1.689",13,NA,NA,NA,NA
Odontomachus_haematodus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",500,"Beckers et al., 1989",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_hastatus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",286.65,"Berthelot et al., 2017; Oliveira et al., 2011",,"1,25",1,0,0,0,0,0,NA,NA,NA,NA,NA,1.8,NA,NA
Odontomachus_laticeps,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",15,"Kaspari & Vargo, 1995",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_opaciventris,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_relictus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",200,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
